Country Name,Credit Rating
Australia,100
Belgium,87
Canada,100
Denmark,100
France,88
Germany,100
Greece,56
India,56
Ireland,88
Italy,63
Japan,77
"Korea, Rep.",86
Netherlands,100
New Zealand,95
Norway,99
Poland,71
Portugal,71
South Africa,41
Spain,71
Sweden,99
United Kingdom,87
United States,97
