Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Australia,AUS,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,29.7087937305528,29.7087926208931,30.395527849221,32.1204150724308,32.1204150724308,..
Australia,AUS,Tree Cover Loss (hectares),AG.LND.FRLS.HA,250749,1661548,2356303,261044,..,..
Australia,AUS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,4.9577804584,4.2340168878,3.4740651387,..,..,..
Belgium,BEL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,100,100,100,..,..
Belgium,BEL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,7.89790553547321,..,..,..,..
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.18436667928584,8.09379074556662,7.39813065774681,..,..,..
Belgium,BEL,Control of Corruption: Estimate,CC.EST,1.42942035198212,1.44899594783783,1.44595634937286,1.45552504062653,1.49504864215851,..
Belgium,BEL,Economic and Social Rights Performance Score,SD.ESR.PERF.XQ,2.487935212,..,..,..,..,..
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,1.22472155094147,1.11346733570099,1.07878303527832,1.08703339099884,1.22765874862671,..
Belgium,BEL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.8788394927979,11.8170013427734,11.1489362716675,11.3198261260986,..,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.5951219512195,81.9951219512195,80.6951219512195,..,..,..
Belgium,BEL,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC,0.716092278027215,0.70337235115737,0.691078974458262,..,..,..
Belgium,BEL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.1,4.1,4.1,4.1,..,..
Belgium,BEL,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC,0.40449864138211,0.402408548452517,0.39555879645406,..,..,..
Belgium,BEL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.76304285,12.6724532,..,..,..,..
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.39363044500351,0.45831623673439,0.521023035049438,0.662566304206848,0.575668811798096,..
Belgium,BEL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,38,42,41.3333333333333,42,42.6666666666667,..
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,1.25903940200806,1.27653729915619,1.34363579750061,1.33185970783234,1.25295519828796,..
Belgium,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,10.65,10.2,12.28,..,..,..
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.33861649036407,1.33622694015503,1.3280041217804,1.29238021373749,1.34894239902496,..
